POSTNR	POSTSTAD	POSTNR- OG STAD	BRUKSOMRÅDE	FOLKETAL	BYDEL	KOMMNR	KOMMUNE	FYLKE	LAT	LON	DATAKVALITET	DATAKVALITETSFORKLARING	SIST OPPDATERT
0001	Oslo	0001 OSLO	Postboksar		Sentrum	301	Oslo	Oslo	59.9116	10.7545	2	Koordinatane er retta av Erik Bolstad	2018-10-10 20:21:41
0009	OSLO (ikkje i bruk)	0009 OSLO (ikkje i bruk)	Usikker			301	Oslo	Oslo	59.91	10.75	6	Usikker plassering	2018-10-03 16:52:23
0010	Oslo	0010 OSLO	Gateadresser og postboksar	0	Sentrum	301	Oslo	Oslo	59.9171	10.7274	2	Koordinatane er retta av Erik Bolstad	2018-10-10 20:21:41
0014	Oslo (ikkje i bruk)	0014 OSLO (ikkje i bruk)	Firma/organisasjon med eige postnummer			301	Oslo	Oslo	59.9116	10.7545	2	Koordinatane er retta av Erik Bolstad	2018-10-03 16:30:31
0015	Oslo	0015 OSLO	Gateadresser og postboksar		Sentrum	301	Oslo	Oslo	59.9061	10.7392	2	Koordinatane er retta av Erik Bolstad	2018-10-22 19:08:07
0016	Oslo (ikkje i bruk)	0016 OSLO (ikkje i bruk)	Firma/organisasjon med eige postnummer		Vestre Aker	301	Oslo	Oslo	59.9439	10.6551	2	Koordinatane er retta av Erik Bolstad	2013-09-18 23:39:52
0017	Oslo (ikkje i bruk)	0017 OSLO (ikkje i bruk)	Firma/organisasjon med eige postnummer			3024	Bærum	Viken	59.9172	10.5049	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:28:58
0018	Oslo	0018 OSLO	Gate-/veg-adresse		Sentrum	301	Oslo	Oslo	59.9078	10.7405	2	Koordinatane er retta av Erik Bolstad	2018-10-11 19:06:19
0019	OSLO (ikkje i bruk)	0019 OSLO (ikkje i bruk)	Usikker			301	Oslo	Oslo	59.91	10.75	6	Usikker plassering	2018-10-03 16:52:23
0020	Oslo (ikkje i bruk)	0020 OSLO (ikkje i bruk)	Firma/organisasjon med eige postnummer			301	Oslo	Oslo	59.9116	10.7545	2	Koordinatane er retta av Erik Bolstad	2018-10-03 16:30:31
0021	Oslo	0021 OSLO	Postboksar		Frogner	301	Oslo	Oslo	59.9097	10.7254	5	Koordinatane er retta av ein yr.no-brukar	2013-04-03 10:02:40
0022	Oslo (Ikkje i bruk)	0022 OSLO (Ikkje i bruk)	Firma/organisasjon med eige postnummer		Sentrum	301	Oslo	Oslo	59.9134	10.7572	2	Koordinatane er retta av Erik Bolstad	2012-09-24 17:05:42
0023	Oslo (ikkje i bruk)	0023 OSLO (ikkje i bruk)	Fleire bruksområde			301	Oslo	Oslo	59.9116	10.7545	2	Koordinatane er retta av Erik Bolstad	2018-10-03 16:30:31
0024	Oslo	0024 OSLO	Postboksar		Alna	301	Oslo	Oslo	59.9283	10.8519	2	Koordinatane er retta av Erik Bolstad	2018-10-03 21:20:32
0025	Oslo (ikkje i bruk)	0025 OSLO (ikkje i bruk)	Postboksar		Sentrum	301	Oslo	Oslo	59.91124	10.75156	1	Koordinatane gjeld postkontoret	2018-10-03 16:40:12
0026	Oslo	0026 OSLO	Gateadresser og postboksar		Sentrum	301	Oslo	Oslo	59.9132	10.7403	2	Koordinatane er retta av Erik Bolstad	2018-10-10 20:22:57
0027	Oslo (Ikkje i bruk)	0027 OSLO (Ikkje i bruk)	Firma/organisasjon med eige postnummer		Nordre Aker	301	Oslo	Oslo	59.9479	10.7157	2	Koordinatane er retta av Erik Bolstad	2019-07-01 23:44:35
0028	Oslo	0028 OSLO	Postboksar		Sentrum	301	Oslo	Oslo	59.91432	10.74927	1	Koordinatane gjeld postkontoret	2011-10-11 09:55:51
0030	Oslo	0030 OSLO	Postboksar		Sentrum	301	Oslo	Oslo	59.9154	10.7458	2	Koordinatane er retta av Erik Bolstad	0000-00-00 00:00:00
0031	Oslo	0031 OSLO	Postboksar		Sentrum	301	Oslo	Oslo	59.9154	10.7458	2	Koordinatane er retta av Erik Bolstad	0000-00-00 00:00:00
0032	Oslo	0032 OSLO	Postboksar		Sentrum	301	Oslo	Oslo	59.9154	10.7458	2	Koordinatane er retta av Erik Bolstad	2018-10-11 19:04:44
0033	Oslo	0033 OSLO	Postboksar		Sentrum	301	Oslo	Oslo	59.9154	10.7458	2	Koordinatane er retta av Erik Bolstad	0000-00-00 00:00:00
0034	Oslo	0034 OSLO	Postboksar		Sentrum	301	Oslo	Oslo	59.9154	10.7458	2	Koordinatane er retta av Erik Bolstad	0000-00-00 00:00:00
0035	OSLO (ikkje i bruk)	0035 OSLO (ikkje i bruk)	Usikker			301	Oslo	Oslo	59.91	10.75	6	Usikker plassering	2018-10-03 16:52:23
0037	Oslo	0037 OSLO	Gateadresser og postboksar		Sentrum	301	Oslo	Oslo	59.9125	10.7341	2	Koordinatane er retta av Erik Bolstad	2018-10-11 18:59:54
0040	Oslo	0040 OSLO	Servicepostnummer		Sagene	301	Oslo	Oslo	59.9425	10.7604	6	Usikker plassering	2013-06-08 01:30:29
0041	Oslo (ikkje i bruk)	0041 OSLO (ikkje i bruk)	Firma/organisasjon med eige postnummer		Sagene	301	Oslo	Oslo	59.9425	10.7604	2	Koordinatane er retta av Erik Bolstad	2012-09-07 08:46:23
0042	Oslo (ikkje i bruk)	0042 OSLO (ikkje i bruk)	Firma/organisasjon med eige postnummer		Sagene	301	Oslo	Oslo	59.9425	10.7604	2	Koordinatane er retta av Erik Bolstad	2012-09-07 08:46:23
0043	Oslo (ikkje i bruk)	0043 OSLO (ikkje i bruk)	Firma/organisasjon med eige postnummer		Sagene	301	Oslo	Oslo	59.9425	10.7604	2	Koordinatane er retta av Erik Bolstad	2012-09-07 08:46:23
0045	Oslo	0045 OSLO	Gate-/veg-adresse		Stovner	301	Oslo	Oslo	59.9636	10.9129	2	Koordinatane er retta av Erik Bolstad	2018-10-11 19:07:30
0046	Oslo	0046 OSLO	Servicepostnummer		Stovner	301	Oslo	Oslo	59.9636	10.9129	2	Koordinatane er retta av Erik Bolstad	2014-01-10 11:18:58
0047	Oslo	0047 OSLO	Servicepostnummer		Stovner	301	Oslo	Oslo	59.9636	10.9129	2	Koordinatane er retta av Erik Bolstad	2014-01-10 11:18:58
0048	Oslo	0048 OSLO	Postboksar		Sentrum	301	Oslo	Oslo	59.9109	10.7506	2	Koordinatane er retta av Erik Bolstad	2018-10-11 19:08:41
0050	Oslo	0050 OSLO	Gate-/veg-adresse		Sentrum	301	Oslo	Oslo	59.9129	10.7522	2	Koordinatane er retta av Erik Bolstad	2018-10-25 09:07:36
0051	Oslo (ikkje i bruk)	0051 OSLO (ikkje i bruk)	Postboksar		Sentrum	301	Oslo	Oslo	59.9116	10.7545	2	Koordinatane er retta av Erik Bolstad	2018-10-03 16:40:12
0055	Oslo	0055 OSLO	Postboksar		Sentrum	301	Oslo	Oslo	59.9125	10.7468	2	Koordinatane er retta av Erik Bolstad	2016-01-27 13:53:28
0056	OSLO (ikkje i bruk)	0056 OSLO (ikkje i bruk)	Usikker			301	Oslo	Oslo	59.91	10.75	6	Usikker plassering	2018-10-03 16:52:23
0060	Oslo	0060 OSLO	Servicepostnummer			301	Oslo	Oslo	59.9339	10.8503	2	Koordinatane er retta av Erik Bolstad	2018-10-03 18:26:47
0061	OSLO (ikkje i bruk)	0061 OSLO (ikkje i bruk)	Usikker			301	Oslo	Oslo	59.91	10.75	6	Usikker plassering	2018-10-03 16:52:23
0062	OSLO (ikkje i bruk)	0062 OSLO (ikkje i bruk)	Usikker			301	Oslo	Oslo	59.91	10.75	6	Usikker plassering	2018-10-03 16:52:23
0063	OSLO (ikkje i bruk)	0063 OSLO (ikkje i bruk)	Usikker			301	Oslo	Oslo	59.91	10.75	6	Usikker plassering	2018-10-03 16:52:23
0064	OSLO (ikkje i bruk)	0064 OSLO (ikkje i bruk)	Usikker			301	Oslo	Oslo	59.91	10.75	6	Usikker plassering	2018-10-03 16:52:23
0065	OSLO (ikkje i bruk)	0065 OSLO (ikkje i bruk)	Usikker			301	Oslo	Oslo	59.91	10.75	6	Usikker plassering	2018-10-03 16:52:23
0066	OSLO (ikkje i bruk)	0066 OSLO (ikkje i bruk)	Usikker			301	Oslo	Oslo	59.91	10.75	6	Usikker plassering	2018-10-03 16:52:23
0067	OSLO (ikkje i bruk)	0067 OSLO (ikkje i bruk)	Usikker			301	Oslo	Oslo	59.91	10.75	6	Usikker plassering	2018-10-03 16:52:23
0068	OSLO (ikkje i bruk)	0068 OSLO (ikkje i bruk)	Usikker			301	Oslo	Oslo	59.91	10.75	6	Usikker plassering	2018-10-03 16:52:23
0069	OSLO (ikkje i bruk)	0069 OSLO (ikkje i bruk)	Usikker			301	Oslo	Oslo	59.91	10.75	6	Usikker plassering	2018-10-03 16:52:23
0070	OSLO (ikkje i bruk)	0070 OSLO (ikkje i bruk)	Usikker			301	Oslo	Oslo	59.91	10.75	6	Usikker plassering	2018-10-03 16:52:23
0071	OSLO (ikkje i bruk)	0071 OSLO (ikkje i bruk)	Usikker			301	Oslo	Oslo	59.91	10.75	6	Usikker plassering	2018-10-03 16:52:23
0072	OSLO (ikkje i bruk)	0072 OSLO (ikkje i bruk)	Usikker			301	Oslo	Oslo	59.91	10.75	6	Usikker plassering	2018-10-03 16:52:23
0073	OSLO (ikkje i bruk)	0073 OSLO (ikkje i bruk)	Usikker			301	Oslo	Oslo	59.91	10.75	6	Usikker plassering	2018-10-03 16:52:23
0074	OSLO (ikkje i bruk)	0074 OSLO (ikkje i bruk)	Usikker			301	Oslo	Oslo	59.91	10.75	6	Usikker plassering	2018-10-03 16:52:23
0075	OSLO (ikkje i bruk)	0075 OSLO (ikkje i bruk)	Usikker			301	Oslo	Oslo	59.91	10.75	6	Usikker plassering	2018-10-03 16:52:23
0076	OSLO (ikkje i bruk)	0076 OSLO (ikkje i bruk)	Usikker			301	Oslo	Oslo	59.91	10.75	6	Usikker plassering	2018-10-03 16:52:23
0077	OSLO (ikkje i bruk)	0077 OSLO (ikkje i bruk)	Usikker			301	Oslo	Oslo	59.91	10.75	6	Usikker plassering	2018-10-03 16:52:23
0078	OSLO (ikkje i bruk)	0078 OSLO (ikkje i bruk)	Usikker			301	Oslo	Oslo	59.91	10.75	6	Usikker plassering	2018-10-03 16:52:23
0079	OSLO (ikkje i bruk)	0079 OSLO (ikkje i bruk)	Usikker			301	Oslo	Oslo	59.91	10.75	6	Usikker plassering	2018-10-03 16:52:23
0080	Oslo (ikkje i bruk)	0080 OSLO (ikkje i bruk)	Firma/organisasjon med eige postnummer			3033	Ullensaker	Viken	60.1895	11.1055	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:28:58
0081	Oslo	0081 OSLO	Servicepostnummer		Sentrum	301	Oslo	Oslo	59.9155	10.741	2	Koordinatane er retta av Erik Bolstad	2018-10-03 21:20:33
0085	OSLO (ikkje i bruk)	0085 OSLO (ikkje i bruk)	Usikker			301	Oslo	Oslo	59.91	10.75	6	Usikker plassering	2018-10-03 16:52:23
0101	Oslo	0101 OSLO	Postboksar		Sentrum	301	Oslo	Oslo	59.9138	10.7387	2	Koordinatane er retta av Erik Bolstad	0000-00-00 00:00:00
0102	Oslo	0102 OSLO	Postboksar		Sentrum	301	Oslo	Oslo	59.9138	10.7387	2	Koordinatane er retta av Erik Bolstad	0000-00-00 00:00:00
0103	Oslo	0103 OSLO	Postboksar		Sentrum	301	Oslo	Oslo	59.9138	10.7387	2	Koordinatane er retta av Erik Bolstad	0000-00-00 00:00:00
0104	Oslo	0104 OSLO	Postboksar		Sentrum	301	Oslo	Oslo	59.91067	10.74421	1	Koordinatane gjeld postkontoret	2011-10-11 09:57:17
0105	Oslo	0105 OSLO	Postboksar		Sentrum	301	Oslo	Oslo	59.9138	10.7387	2	Koordinatane er retta av Erik Bolstad	0000-00-00 00:00:00
0106	Oslo	0106 OSLO	Postboksar		Sentrum	301	Oslo	Oslo	59.9138	10.7387	2	Koordinatane er retta av Erik Bolstad	0000-00-00 00:00:00
0107	Oslo	0107 OSLO	Postboksar		Sentrum	301	Oslo	Oslo	59.9138	10.7387	2	Koordinatane er retta av Erik Bolstad	0000-00-00 00:00:00
0108	OSLO (ikkje i bruk)	0108 OSLO (ikkje i bruk)	Usikker			301	Oslo	Oslo	59.91	10.75	6	Usikker plassering	2018-10-03 16:52:23
0109	Oslo	0109 OSLO	Postboksar		Sentrum	301	Oslo	Oslo	59.9104	10.7443	1	Koordinatane gjeld postkontoret	2018-10-03 18:26:47
0110	Oslo	0110 OSLO	Postboksar		Sentrum	301	Oslo	Oslo	59.9134	10.7313	2	Koordinatane er retta av Erik Bolstad	0000-00-00 00:00:00
0111	Oslo	0111 OSLO	Postboksar		Sentrum	301	Oslo	Oslo	59.9134	10.7313	2	Koordinatane er retta av Erik Bolstad	0000-00-00 00:00:00
0112	Oslo	0112 OSLO	Postboksar		Sentrum	301	Oslo	Oslo	59.9134	10.7313	2	Koordinatane er retta av Erik Bolstad	0000-00-00 00:00:00
0113	Oslo	0113 OSLO	Postboksar		Sentrum	301	Oslo	Oslo	59.9134	10.7313	2	Koordinatane er retta av Erik Bolstad	0000-00-00 00:00:00
0114	Oslo	0114 OSLO	Postboksar		Sentrum	301	Oslo	Oslo	59.9134	10.7313	2	Koordinatane er retta av Erik Bolstad	0000-00-00 00:00:00
0115	Oslo	0115 OSLO	Postboksar		Sentrum	301	Oslo	Oslo	59.9134	10.7313	2	Koordinatane er retta av Erik Bolstad	0000-00-00 00:00:00
0116	Oslo	0116 OSLO	Postboksar		Sentrum	301	Oslo	Oslo	59.9134	10.7313	2	Koordinatane er retta av Erik Bolstad	0000-00-00 00:00:00
0117	Oslo	0117 OSLO	Postboksar		Sentrum	301	Oslo	Oslo	59.9134	10.7313	2	Koordinatane er retta av Erik Bolstad	0000-00-00 00:00:00
0118	Oslo	0118 OSLO	Postboksar		Sentrum	301	Oslo	Oslo	59.9134	10.7313	2	Koordinatane er retta av Erik Bolstad	0000-00-00 00:00:00
0119	Oslo	0119 OSLO	Postboksar		Sentrum	301	Oslo	Oslo	59.9134	10.7313	2	Koordinatane er retta av Erik Bolstad	0000-00-00 00:00:00
0120	Oslo	0120 OSLO	Postboksar		Sentrum	301	Oslo	Oslo	59.9138	10.7387	2	Koordinatane er retta av Erik Bolstad	0000-00-00 00:00:00
0121	Oslo	0121 OSLO	Postboksar		Sentrum	301	Oslo	Oslo	59.9134	10.7313	2	Koordinatane er retta av Erik Bolstad	0000-00-00 00:00:00
0122	Oslo	0122 OSLO	Postboksar		Sentrum	301	Oslo	Oslo	59.913	10.7239	2	Koordinatane er retta av Erik Bolstad	0000-00-00 00:00:00
0123	Oslo	0123 OSLO	Postboksar		Sentrum	301	Oslo	Oslo	59.9126	10.7165	2	Koordinatane er retta av Erik Bolstad	0000-00-00 00:00:00
0124	Oslo	0124 OSLO	Postboksar		Sentrum	301	Oslo	Oslo	59.9122	10.7091	2	Koordinatane er retta av Erik Bolstad	0000-00-00 00:00:00
0125	Oslo	0125 OSLO	Postboksar		Sentrum	301	Oslo	Oslo	59.9118	10.7017	2	Koordinatane er retta av Erik Bolstad	0000-00-00 00:00:00
0126	Oslo (ikkje i bruk)	0126 OSLO (ikkje i bruk)	Postboksar		Sentrum	301	Oslo	Oslo	59.9114	10.6943	2	Koordinatane er retta av Erik Bolstad	2019-07-01 23:42:50
0127	Oslo (ikkje i bruk)	0127 OSLO (ikkje i bruk)	Postboksar		Sentrum	301	Oslo	Oslo	59.9134	10.7291	2	Koordinatane er retta av Erik Bolstad	2019-07-01 23:44:00
0128	Oslo	0128 OSLO	Postboksar	0	Sentrum	301	Oslo	Oslo	59.91330	10.74426	1	Koordinatane gjeld postkontoret	2011-10-11 09:57:12
0129	Oslo	0129 OSLO	Postboksar		St.Hanshaugen	301	Oslo	Oslo	59.918	10.74	2	Koordinatane er retta av Erik Bolstad	0000-00-00 00:00:00
0130	Oslo	0130 OSLO	Postboksar		St.Hanshaugen	301	Oslo	Oslo	59.91776	10.74011	1	Koordinatane gjeld postkontoret	2011-10-11 09:57:17
0131	Oslo	0131 OSLO	Postboksar		St.Hanshaugen	301	Oslo	Oslo	59.92359	10.74047	1	Koordinatane gjeld postkontoret	2011-10-11 09:55:52
0132	Oslo	0132 OSLO	Postboksar			301	Oslo	Oslo	59.92359	10.74047	6	Usikker plassering	2018-10-03 18:26:47
0133	Oslo	0133 OSLO	Postboksar		Gamle Oslo	301	Oslo	Oslo	59.91287	10.75909	1	Koordinatane gjeld postkontoret	2011-10-11 09:55:51
0134	Oslo	0134 OSLO	Postboksar		Gamle Oslo	301	Oslo	Oslo	59.9129	10.7591	1	Koordinatane gjeld postkontoret	0000-00-00 00:00:00
0135	Oslo	0135 OSLO	Postboksar		Gamle Oslo	301	Oslo	Oslo	59.9129	10.7591	1	Koordinatane gjeld postkontoret	0000-00-00 00:00:00
0136	Oslo	0136 OSLO	Postboksar		St.Hanshaugen	301	Oslo	Oslo	59.91759	10.73985	6	Usikker plassering	2018-10-03 18:26:47
0137	Oslo (Ikkje i bruk)	0137 OSLO (Ikkje i bruk)	Postboksar		Nordstrand	301	Oslo	Oslo	59.8834	10.7717	2	Koordinatane er retta av Erik Bolstad	2018-10-03 16:30:31
0138	Oslo	0138 OSLO	Postboksar		Nordstrand	301	Oslo	Oslo	59.87024	10.77272	1	Koordinatane gjeld postkontoret	2011-10-11 09:55:51
0139	Oslo	0139 OSLO	Gate-/veg-adresse	738	Nordstrand	301	Oslo	Oslo	59.87	10.7726	2	Koordinatane er retta av Erik Bolstad	2018-10-22 19:25:08
0140	Oslo	0140 OSLO	Postboksar			301	Oslo	Oslo	59.90363	10.75535	2	Koordinatane er retta av Erik Bolstad	2017-04-01 18:30:29
0150	Oslo	0150 OSLO	Gate-/veg-adresse	0	Gamle Oslo	301	Oslo	Oslo	59.8906	10.7128	2	Koordinatane er retta av Erik Bolstad	2018-10-22 19:04:54
0151	Oslo	0151 OSLO	Gate-/veg-adresse	26	Sentrum	301	Oslo	Oslo	59.9089	10.7421	2	Koordinatane er retta av Erik Bolstad	2018-10-22 22:44:58
0152	Oslo	0152 OSLO	Gate-/veg-adresse	407	Sentrum	301	Oslo	Oslo	59.9099	10.7466	2	Koordinatane er retta av Erik Bolstad	2018-10-22 19:25:28
0153	Oslo	0153 OSLO	Gate-/veg-adresse	24	Sentrum	301	Oslo	Oslo	59.9104	10.7427	2	Koordinatane er retta av Erik Bolstad	2018-10-22 19:25:13
0154	Oslo	0154 OSLO	Gate-/veg-adresse	77	Sentrum	301	Oslo	Oslo	59.9115	10.7475	2	Koordinatane er retta av Erik Bolstad	2018-10-22 19:25:26
0155	Oslo	0155 OSLO	Gate-/veg-adresse	6	Sentrum	301	Oslo	Oslo	59.9129	10.7483	2	Koordinatane er retta av Erik Bolstad	2018-10-22 22:46:59
0157	Oslo	0157 OSLO	Gate-/veg-adresse	56	Sentrum	301	Oslo	Oslo	59.9121	10.7416	2	Koordinatane er retta av Erik Bolstad	2018-10-22 19:10:24
0158	Oslo	0158 OSLO	Gate-/veg-adresse	45	Sentrum	301	Oslo	Oslo	59.912	10.739	2	Koordinatane er retta av Erik Bolstad	2018-10-22 22:47:10
0159	Oslo	0159 OSLO	Gate-/veg-adresse	3	Sentrum	301	Oslo	Oslo	59.9139	10.7416	2	Koordinatane er retta av Erik Bolstad	2018-10-22 19:25:16
0160	Oslo	0160 OSLO	Gate-/veg-adresse	4	Sentrum	301	Oslo	Oslo	59.9108	10.7326	2	Koordinatane er retta av Erik Bolstad	2018-10-28 02:14:48
0161	Oslo	0161 OSLO	Gate-/veg-adresse	4	Sentrum	301	Oslo	Oslo	59.9138	10.7331	2	Koordinatane er retta av Erik Bolstad	2018-10-22 22:47:11
0162	Oslo	0162 OSLO	Gate-/veg-adresse	0	Sentrum	301	Oslo	Oslo	59.9144	10.7371	2	Koordinatane er retta av Erik Bolstad	2018-10-22 19:25:21
0164	Oslo	0164 OSLO	Gate-/veg-adresse	9	Sentrum	301	Oslo	Oslo	59.9162	10.7389	2	Koordinatane er retta av Erik Bolstad	2018-10-22 19:25:24
0165	Oslo	0165 OSLO	Gate-/veg-adresse	1537	St.Hanshaugen	301	Oslo	Oslo	59.9189	10.7414	2	Koordinatane er retta av Erik Bolstad	2018-10-22 19:25:52
0166	Oslo	0166 OSLO	Gate-/veg-adresse	692	Sentrum	301	Oslo	Oslo	59.9192	10.7348	2	Koordinatane er retta av Erik Bolstad	2018-10-22 19:25:43
0167	Oslo	0167 OSLO	Gate-/veg-adresse	218	Frogner	301	Oslo	Oslo	59.92	10.7316	2	Koordinatane er retta av Erik Bolstad	2018-10-22 19:11:17
0168	Oslo	0168 OSLO	Gate-/veg-adresse	1922	St.Hanshaugen	301	Oslo	Oslo	59.9273	10.7344	2	Koordinatane er retta av Erik Bolstad	2018-10-22 22:44:59
0169	Oslo	0169 OSLO	Gate-/veg-adresse	1703	St.Hanshaugen	301	Oslo	Oslo	59.9252	10.7367	2	Koordinatane er retta av Erik Bolstad	2018-10-22 22:46:50
0170	Oslo	0170 OSLO	Gate-/veg-adresse	2536	St.Hanshaugen	301	Oslo	Oslo	59.9226	10.7368	2	Koordinatane er retta av Erik Bolstad	2018-10-22 19:25:49
0171	Oslo	0171 OSLO	Gate-/veg-adresse	2119	St.Hanshaugen	301	Oslo	Oslo	59.9263	10.7427	2	Koordinatane er retta av Erik Bolstad	2018-10-22 22:46:39
0172	Oslo	0172 OSLO	Gate-/veg-adresse	2201	St.Hanshaugen	301	Oslo	Oslo	59.924	10.7448	2	Koordinatane er retta av Erik Bolstad	2018-10-22 22:46:59
0173	Oslo	0173 OSLO	Gate-/veg-adresse	1490	St.Hanshaugen	301	Oslo	Oslo	59.9278	10.7472	2	Koordinatane er retta av Erik Bolstad	2018-10-22 22:46:59
0174	Oslo	0174 OSLO	Gate-/veg-adresse	961	St.Hanshaugen	301	Oslo	Oslo	59.9264	10.7484	2	Koordinatane er retta av Erik Bolstad	2018-10-22 22:47:11
0175	Oslo	0175 OSLO	Gate-/veg-adresse	1710	Grünerløkka	301	Oslo	Oslo	59.9268	10.7515	2	Koordinatane er retta av Erik Bolstad	2018-10-22 19:25:46
0176	Oslo	0176 OSLO	Gate-/veg-adresse	1432	St.Hanshaugen	301	Oslo	Oslo	59.9202	10.7385	2	Koordinatane er retta av Erik Bolstad	2018-10-22 19:25:45
0177	Oslo	0177 OSLO	Gate-/veg-adresse	1528	St.Hanshaugen	301	Oslo	Oslo	59.9193	10.7477	2	Koordinatane er retta av Erik Bolstad	2018-10-22 19:25:51
0178	Oslo	0178 OSLO	Gate-/veg-adresse	1294	St.Hanshaugen	301	Oslo	Oslo	59.9203	10.7505	2	Koordinatane er retta av Erik Bolstad	2018-10-22 19:25:48
0179	Oslo	0179 OSLO	Gate-/veg-adresse	280	St.Hanshaugen	301	Oslo	Oslo	59.9165	10.749	2	Koordinatane er retta av Erik Bolstad	2018-10-22 22:45:54
0180	Oslo	0180 OSLO	Gate-/veg-adresse	102	St.Hanshaugen	301	Oslo	Oslo	59.916	10.7431	2	Koordinatane er retta av Erik Bolstad	2018-10-22 22:45:00
0181	Oslo	0181 OSLO	Gate-/veg-adresse	50	St.Hanshaugen	301	Oslo	Oslo	59.9148	10.7501	2	Koordinatane er retta av Erik Bolstad	2018-10-22 19:25:54
0182	Oslo	0182 OSLO	Gate-/veg-adresse	1029	Grünerløkka	301	Oslo	Oslo	59.9175	10.7548	2	Koordinatane er retta av Erik Bolstad	2018-10-22 19:26:18
0183	Oslo	0183 OSLO	Gate-/veg-adresse	1326	St.Hanshaugen	301	Oslo	Oslo	59.9165	10.7531	2	Koordinatane er retta av Erik Bolstad	2018-10-22 22:44:27
0184	Oslo	0184 OSLO	Gate-/veg-adresse	36	Sentrum	301	Oslo	Oslo	59.9136	10.7525	2	Koordinatane er retta av Erik Bolstad	2018-10-22 19:26:54
0185	Oslo	0185 OSLO	Gate-/veg-adresse		Sentrum	301	Oslo	Oslo	59.9118	10.7571	2	Koordinatane er retta av Erik Bolstad	2018-10-22 22:47:11
0186	Oslo	0186 OSLO	Gate-/veg-adresse	532	Grünerløkka	301	Oslo	Oslo	59.9157	10.7587	2	Koordinatane er retta av Erik Bolstad	2018-10-22 22:44:46
0187	Oslo	0187 OSLO	Gate-/veg-adresse	2737	Gamle Oslo	301	Oslo	Oslo	59.9146	10.764	2	Koordinatane er retta av Erik Bolstad	2018-10-22 22:45:10
0188	Oslo	0188 OSLO	Gate-/veg-adresse	1369	Gamle Oslo	301	Oslo	Oslo	59.9126	10.7608	2	Koordinatane er retta av Erik Bolstad	2018-10-22 22:46:59
0190	Oslo	0190 OSLO	Gate-/veg-adresse	2613	Gamle Oslo	301	Oslo	Oslo	59.912	10.7654	2	Koordinatane er retta av Erik Bolstad	2018-10-22 22:44:01
0191	Oslo	0191 OSLO	Gate-/veg-adresse	201	Gamle Oslo	301	Oslo	Oslo	59.9083	10.7614	2	Koordinatane er retta av Erik Bolstad	2018-10-22 19:12:45
0192	Oslo	0192 OSLO	Gate-/veg-adresse	2241	Gamle Oslo	301	Oslo	Oslo	59.9043	10.7717	2	Koordinatane er retta av Erik Bolstad	2018-10-22 19:26:27
0193	Oslo	0193 OSLO	Gate-/veg-adresse	294	Nordstrand	301	Oslo	Oslo	59.8882	10.7549	2	Koordinatane er retta av Erik Bolstad	2013-09-19 22:22:02
0194	Oslo	0194 OSLO	Gate-/veg-adresse		Gamle Oslo	301	Oslo	Oslo	59.904	10.756	2	Koordinatane er retta av Erik Bolstad	2018-10-22 19:11:30
0195	Oslo	0195 OSLO	Gate-/veg-adresse	508	Gamle Oslo	301	Oslo	Oslo	59.9033	10.7876	2	Koordinatane er retta av Erik Bolstad	2018-10-22 19:27:56
0196	Oslo	0196 OSLO	Gate-/veg-adresse	2748	Gamle Oslo	301	Oslo	Oslo	59.9021	10.7818	2	Koordinatane er retta av Erik Bolstad	2018-10-22 22:44:47
0198	Oslo	0198 OSLO	Gate-/veg-adresse	1381	Nordstrand	301	Oslo	Oslo	59.8749	10.7602	2	Koordinatane er retta av Erik Bolstad	2018-10-22 19:07:58
0201	Oslo	0201 OSLO	Postboksar		Frogner	301	Oslo	Oslo	59.91462	10.71992	1	Koordinatane gjeld postkontoret	2011-10-11 09:57:17
0202	Oslo	0202 OSLO	Postboksar		Frogner	301	Oslo	Oslo	59.9146	10.7199	1	Koordinatane gjeld postkontoret	0000-00-00 00:00:00
0203	Oslo	0203 OSLO	Postboksar		Frogner	301	Oslo	Oslo	59.9146	10.7199	1	Koordinatane gjeld postkontoret	0000-00-00 00:00:00
0204	Oslo	0204 OSLO	Postboksar		Frogner	301	Oslo	Oslo	59.9146	10.7199	1	Koordinatane gjeld postkontoret	0000-00-00 00:00:00
0207	Oslo	0207 OSLO	Postboksar	0	Frogner	301	Oslo	Oslo	59.91836	10.70747	1	Koordinatane gjeld postkontoret	2011-10-11 09:55:51
0208	Oslo	0208 OSLO	Postboksar		Frogner	301	Oslo	Oslo	59.9184	10.7075	1	Koordinatane gjeld postkontoret	0000-00-00 00:00:00
0211	Oslo	0211 OSLO	Postboksar		Frogner	301	Oslo	Oslo	59.907	10.6743	2	Koordinatane er retta av Erik Bolstad	0000-00-00 00:00:00
0212	Oslo	0212 OSLO	Postboksar		Ullern	301	Oslo	Oslo	59.9228	10.6793	2	Koordinatane er retta av Erik Bolstad	0000-00-00 00:00:00
0213	Oslo	0213 OSLO	Postboksar		Ullern	301	Oslo	Oslo	59.9228	10.6793	2	Koordinatane er retta av Erik Bolstad	0000-00-00 00:00:00
0214	Oslo	0214 OSLO	Postboksar		Ullern	301	Oslo	Oslo	59.9228	10.6793	2	Koordinatane er retta av Erik Bolstad	0000-00-00 00:00:00
